"user_name","additions","deletions","commits"
"miminar",1493,402,21
"sallyom",479,144,21
"Mic92",2341,451,21
"monnand",434,231,21
"cespare",354,269,21
"arm64b",357,957,22
"dongluochen",9124,4524,23
"ibuildthecloud",699,218,23
"pnasrat",1524,1297,23
"mrunalp",2398,603,24
"lsm5",140,117,24
"fcrisciani",12514,8597,25
"chris-crone",971,456,26
"charleswhchan",319,244,26
"shishir-a412ed",1424,673,27
"ewindisch",975,507,29
"titanous",554,411,29
"jpoimboe",1657,266,29
"nishanttotla",6908,5451,31
"swernli",1543,1212,31
"ankushagarwal",857,161,31
"mistyhacks",7737,3956,33
"MHBauer",2125,1484,34
"vishh",2370,911,34
"ripcurld",2490,655,35
"philips",1169,717,35
"mrjana",30283,18614,37
"dqminh",1196,298,38
"YuPengZTE",161,150,38
"sunyuan3",505,129,38
"miaoyq",909,551,39
"sfsmithcha",6313,3158,39
"wenchma",2354,2285,39
"Mashimiao",1464,698,41
"brahmaroutu",1938,2148,42
"cyli",14490,11595,43
"ostezer",35026,13818,43
"bfirsh",25164,37066,44
"jstarks",19043,6003,46
"mzdaniel",3849,2086,46
"mountkin",1906,1630,47
"proppy",701,303,49
"samalba",908,405,49
"kencochrane",3192,757,54
"ehazlett",4282,840,55
"stevvooe",6407,3683,58
"jpetazzo",1650,877,58
"HuKeping",1983,2569,59
"cyphar",4380,4213,60
"jlhawn",9433,2034,69
"tophj-ibm",1535,1241,73
"dhrp",26330,14992,74
"kolyshkin",4739,793,77
"rhatdan",3450,749,77
"justincormack",5331,3192,87
"lixiaobing1",265,413,89
"aluzzardi",22264,5321,89
"yuexiao-wang",827,535,90
"jamtur01",24842,24574,90
"rhvgoyal",3556,1145,95
"ahmetb",2880,1164,98
"AkihiroSuda",43925,10470,99
"anusha-ragunathan",7859,3966,100
"darrenstahlmsft",7451,6634,100
"WeiZhang555",5313,3395,104
"aboch",37674,11144,105
"erikh",11864,8126,107
"estesp",5919,1865,115
"mlaventure",108017,17442,118
"mavenugo",67511,12020,126
"hqhq",5401,2962,138
"shin-",5324,2362,143
"vbatts",14560,5559,167
"dmcgowan",44066,15939,173
"coolljt0725",3761,1531,183
"allencloud",8185,5476,188
"sdurrheimer",3700,1267,190
"shykes",14680,10351,195
"duglin",14398,6789,224
"tiborvass",44001,56195,247
"aaronlehmann",74875,46595,256
"unclejack",11495,5026,276
"SvenDowideit",127686,119803,285
"alexlarsson",35857,18030,294
"tonistiigi",230663,48485,300
"runcom",17841,19589,302
"calavera",46646,34222,348
"albers",6347,2972,356
"vdemeester",61683,55406,373
"jessfraz",40840,16375,373
"yongtang",155328,118137,377
"dnephin",107718,78742,420
"tianon",26384,137461,474
"cpuguy83",59366,62318,476
"LK4D4",780860,830315,484
"thaJeztah",25518,43320,565
"jhowardmsft",213304,27293,625
"creack",33475,21896,708
"vieux",48126,35854,870
"crosbymichael",147344,102991,914
